;lemmantized_reviews
989;['pleasantly', 'surprised', 'standard', 'accommodation', 'communal', 'area', 'staff', 'friendly', 'speak', 'english', 'entirely', 'fluent', 'patient', 'brush', 'frenchthe', 'food', 'drink', 'expensive', 'euro', 'head', 'simple', 'pasta', 'buffet', 'also', 'applies', 'onsite', 'shop', 'better', 'shopping', 'get', 'park', 'activity', 'pricey', 'nt', 'need', 'everything', 'going', 'could', 'easily', 'spend', 'whole', 'week', 'cycling', 'swimming', 'aquamundo', 'fantastic', 'couple', 'activity', 'get', 'kid', 'hairi', 'would', 'also', 'add', 'impression', 'car', 'banned', 'park', 'outside', 'moving', 'day', 'car', 'parked', 'along', 'road', 'nt', 'appear', 'restriction', 'movement']
990;['lovely', 'scenery', 'easy', 'find', 'calais', 'usual', 'fantastic', 'center', 'parcs', 'facility', 'nearly', 'half', 'price', 'england', 'brainer', 'nice', 'clean', 'everywhere', 'staff', 'polite', 'helpful']
991;['arriving', 'delighted', 'see', 'pretty', 'site', 'smoothly', 'everything', 'gone', 'slightly', 'concerned', 'previous', 'comment', 'state', 'cottage', 'nt', 'quite', 'prepared', 'enough', 'booked', 'premium', 'cottage', 'one', 'nothing', 'premium', 'dated', 'scruffy', 'worse', 'really', 'dirty', 'spent', 'first', 'hour', 'holiday', 'cleaning', 'washing', 'dish', 'hoovering', 'etc', 'cleaner', 'nt', 'done', 'anything', 'like', 'anyway', 'luckily', 'got', 'cottage', 'good', 'location', 'near', 'beach', 'fairly', 'quiet', 'believe', 'lot', 'others', 'noisy', 'overlooked', 'far', 'away', 'center', 'study', 'map', 'booking', 'got', 'free', 'topping', 'booking', 'early', 'take', 'note', 'got', 'couple', 'bike', 'including', 'child', 'seat', 'day', 'free', 'nt', 'really', 'need', 'fairly', 'close', 'nice', 'made', 'extremely', 'lazy', 'aside', 'horrible', 'cottage', 'course', 'get', 'used', 'helpful', 'staff', 'tend', 'prefer', 'french', 'make', 'guest', 'silly', 'drink', 'price', 'fact', 'lot', 'thing', 'closed', 'working', 'june', 'lot', 'good', 'point', 'holiday', 'price', 'compared', 'lot', 'better', 'aqua', 'mundo', 'brilliant', 'load', 'slide', 'water', 'temperature', 'lovely', 'fact', 'year', 'old', 'could', 'every', 'slide', 'lifeguard', 'paid', 'little', 'attention', 'free', 'pool', 'safety', 'cleanliness', 'area', 'surprisingly', 'good', 'shop', 'good', 'badly', 'priced', 'pony', 'ride', 'good', 'fun', 'fairly', 'cheap', 'bowling', 'alley', 'bit', 'rubbish', 'drink', 'expensive', 'setting', 'beautiful', 'one', 'thing', 'bear', 'mind', '', 'reception', 'close', '7pm', 'absolutely', 'nobody', 'around', 'need', 'help', 'daughter', 'got', 'bad', 'dose', 'chicken', 'pox', 'went', 'center', '730', 'everything', 'closed', 'nobody', 'spoke', 'english', 'phone', 'information', 'kind', 'enjoy', 'stay', 'although', 'doubt', 'would', 'return', 'mainly', 'many', 'place', 'check']
992;['food', 'center', 'parcs', 'much', 'better', 'expected', 'better', 'france', 'lovely', 'surroundings', 'lake', 'canadiancolonial', 'feel', 'went', 'early', 'june', 'country', 'would', 'considered', 'high', 'season', 'found', 'restarauntscafes', 'activity', 'operating', 'daystimes', 'expected']
993;['stayed', 'centre', 'parcs', 'holland', 'france', 'favourite', 'staff', 'friendly', 'even', 'language', 'barrier', 'happy', 'help', 'village', 'picturest', 'child', 'facility', 'great', 'pool', 'fantastic', 'catering', 'age', 'ability', 'food', 'delivery', 'service', 'brilliant', 'allowing', 'eat', 'alfresco', 'beware', 'bikers', 'centre', 'hilly', 'made', 'difficult', 'bike']
994;['food', 'drink', 'expensive', 'many', 'restaurant', 'open', 'beautiful', 'lake', 'fun', 'pool', 'well', 'worth', 'visit', 'lot', 'child', 'lovely', 'canadian', 'style', 'cottage', 'secluded', 'england']
995;['arrived', 'lac', 'dailette', 'trepidation', 'due', 'negative', 'review', 'say', 'nt', 'get', 'paid', 'le', 'u00a3700', 'night', 'equivalent', 'week', 'centre', 'parcs', 'penrith', 'going', 'u00a31300', 'may', 'halfterm', 'le', 'u00a3100', 'per', 'night', 'family', 'sure', 'could', 'asked', 'staff', 'pleasant', 'helpful', 'unlike', 'across', 'majority', 'france', 'spoke', 'english', 'place', 'anglocentric', 'busy', 'week', 'although', 'thing', 'calmed', 'friday', 'countryman', 'headed', 'home', 'place', 'deserted', 'real', 'gripe', 'came', 'courtesy', 'english', 'family', 'let', 'badly', 'behaved', 'noisy', 'kid', 'spend', 'evening', 'screeching', 'yelling', 'thus', 'ruining', 'chance', 'peace', 'quiet', 'rest', 'making', 'harder', 'kid', 'get', 'sleep', 'somewhere', 'around', '32567', 'halfterm', 'week', 'get', 'grip', 'kid', 'accommodation', 'well', 'maintained', 'clean', 'exception', 'previous', 'guest', 'vomitted', 'window', 'onto', 'canopy', 'terrace', 'nice', 'yes', 'paint', 'wall', 'marked', 'interior', 'nt', 'designed', 'tara', 'bernerd', 'nt', 'paying', 'u00a31300', 'lack', 'oven', 'nt', 'ideal', 'made', 'meal', 'delivery', 'service', 'reheated', 'cooked', 'accommodation', 'little', 'puzzling', 'waterside', 'visited', 'duck', 'duckling', 'swan', 'swallow', 'copyu', 'beaver', 'rat', 'cat', 'rabbit', 'even', 'water', 'snake', 'little', 'disturbing', 'bed', 'comfortable', 'overall', 'pleased', 'accommodation', 'patioterrace', 'fully', 'fenced', 'therefore', 'safe', 'year', 'oldactivities', 'little', 'pricey', 'although', 'moved', 'disneyland', 'afterwards', 'gone', 'first', 'maybe', 'assessment', 'may', 'little', 'different', 'ate', 'suzette', 'crepe', 'good', 'similar', 'quality', 'brittany', 'also', 'made', 'error', 'eating', 'marche', 'monde', 'buffet', 'honest', 'quality', 'really', 'poor', 'overpriced', 'supermarket', 'also', 'expensive', 'although', 'baguette', 'u20ac1', 'croissant', 'etc', 'reasonable', 'stocking', 'supermarket', 'laon', 'recommendedthe', 'swimming', 'pool', 'excellent', 'speedos', 'required', 'attention', 'paid', 'staff', 'sign', 'saying', 'one', 'person', 'time', 'slide', 'meant', 'year', 'old', 'could', 'come', 'felt', 'brave', 'enough', 'ownwe', 'hired', 'bike', 'used', 'u2018toppings', 'free', 'activity', 'voucher', 'get', 'booking', 'early', 'enough', 'meant', 'adult', 'bike', 'bike', 'trailer', 'kid', 'bike', 'cost', 'u20ac26', 'day', 'golf', 'buggy', 'popular', 'need', 'keep', 'wit', 'youre', 'wifi', 'told', 'wifi', 'internet', 'access', 'via', 'cable', 'plug', 'laptop', 'port', 'accommodationwe', 'great', 'time', 'would', 'happily', 'visit', 'book', 'confidence']
996;['visited', 'second', 'time', 'may', 'bank', 'holiday', 'found', 'typical', 'centreparcs', 'exception', 'generally', 'better', 'accommodation', 'centre', 'parcs', 'visitedgreat', 'thing', 'centre', 'parcs1', 'hour', 'eurotunnel2', 'good', 'value', 'accommodation', 'may', 'good', 'condition', 'clean', 'next', 'large', 'lake3', 'excellent', 'indoor', 'pool', 'area', 'stay', 'day', 'best', 'bit', 'centre', 'parc', 'variation', 'across', 'parks4', 'nice', 'site', 'plenty', 'wildlife', 'indoor', 'play', 'area', 'kid', 'petting', 'zoo', 'etc', 'fact', 'seems', 'ideal', 'young', 'family5', 'lot', 'paid', 'activity', 'like', 'paint', 'balling', 'euro', 'segway', 'euro', '12', 'hour', 'tennis', 'euro', 'tree', 'top', 'trail', 'euro', 'rain', 'stop', 'play', 'relatively', 'car', 'freedistractions', 'anything', 'pay', 'price', 'typical', 'eg', '12', 'litre', 'beer', 'pound', 'buffet', 'adult', 'meal', 'pound2', 'peak', 'period', 'accommodation', 'cost', 'expensive', 'typical', 'centre', 'park', 'walk', 'alot', 'hire', 'bike', 'take', 'one', 'however', 'choose', 'accommodation', 'want', 'therefore', 'choosing', 'near', 'faroverall', 'different', 'centre', 'parcs', 'across', 'three', 'country', 'talking', 'everything', 'account', 'better', 'one', 'would', 'recommend', 'return', 'pointfinally', 'bit', 'planning', 'could', 'stop', 'various', 'tourist', 'spot', 'along', 'way', 'visited', 'canadian', 'war', 'cemetery', 'interesting', 'minute', 'route', 'near', 'lensps', 'value', 'rated', 'good', 'accommodation', 'good', 'value', 'point', 'watch', 'peak', 'period']
997;['stayed', 'weekend', 'following', 'trip', 'disneyland', 'paris', 'welcomed', 'peaceful', 'change', 'cottage', 'style', 'pretty', 'best', 'garden', 'view', 'centerparcs', 'swimming', 'pool', 'great', 'many', 'slide', 'river', 'playhouse', 'explorethe', 'view', 'across', 'lake', 'stunningwe', 'slightly', 'disappointed', 'restaurant', 'available', 'advised', 'provider', 'child', 'wannabe', 'activity', 'spoke', 'limited', 'english', 'chose', 'book', 'child', 'activity', 'previously', 'kempervennen', 'great', 'time', 'staff', 'friendly', 'small', 'complaint', 'rabbit', 'hutch', 'farm', 'ridiculously', 'small']
998;['back', 'brilliant', 'week', 'one', 'complaint', 'wish', 'could', 'stayed', 'longer', 'would', 'recommend', 'anyone', 'little', 'worried', 'negative', 'review', 'going', 'honest', 'could', 'nt', 'see', 'issue', 'described']
999;['returned', 'half', 'term', 'break', 'great', 'time', 'made', 'full', 'use', 'aqua', 'mundo', 'bowling', 'amp', 'bike', 'rental', 'daughter', 'archery', 'aqua', 'speed', 'nt', 'think', 'much', 'buffet', 'restaurant', 'limited', 'choice', 'child', 'queue', '45mins', 'table', 'italian', 'enjoyed', 'creperiehired', 'golf', 'buggy', 'mother', 'limited', 'mobility', 'disappointing', 'thing', 'could', 'nt', 'get', 'one', 'monday', 'day', 'arrived', 'due', 'late', 'arrival', 'fri', 'hired', 'would', 'good', 'able', 'reserve', 'advance', 'like', 'bikesvisited', 'nearby', 'medieval', 'city', 'laon', 'tattinger', 'champagne', 'cave', 'rheims']
1000;['second', 'trip', 'centerparcs', 'lac', 'daillette', 'great', 'time', 'despite', 'horrible', 'weather', 'contrary', 'lot', 'review', 'cottage', 'clean', 'well', 'maintained', 'stayed', 'week', 'half', 'term', 'premium', 'person', 'cottage', 'close', 'aquamundo', 'price', 'including', 'channel', 'tunnel', 'le', 'half', 'four', 'day', 'stay', 'half', 'term', 'cottage', 'advertised', 'everything', 'needed', 'nt', 'luxurious', 'comfortable', 'clean', 'plenty', 'space', 'child', 'adult', 'complaint', 'pillow', 'lumpy', 'term', 'facility', 'parc', 'excellent', 'aquamundo', 'world', 'different', 'slide', 'relaxed', 'french', 'attitude', 'health', 'safety', 'meant', 'year', 'old', 'able', 'ride', 'wearing', 'float', 'jacket', 'even', 'rapid', 'ride', 'adored', 'definitely', 'improvement', 'armband', 'strictly', 'allowed', 'child', 'access', 'slide', 'water', 'warm', 'changing', 'facility', 'cleanas', 'booked', 'early', 'received', 'extra', 'topping', 'free', 'charge', 'used', 'book', 'hour', 'bowling', 'hire', 'pedalo', 'hire', 'family', 'bike', 'activity', 'fun', 'great', 'free', 'child', 'took', 'pony', 'ride', 'enjoyed', 'high', 'rope', 'course', 'whilst', 'fun', 'felt', 'activity', 'overpriced', 'e12', 'e10', 'min', 'food', 'wise', 'ate', 'buffet', 'twice', 'plentiful', 'choice', 'nice', 'hot', 'good', 'selection', 'child', 'bit', 'pricey', 'expect', 'holiday', 'village', 'quality', 'good', 'problem', 'none', 'restaurant', 'open', '630', 'two', 'found', 'late', 'long', 'active', 'daystaff', 'extremely', 'helpful', 'provided', 'try', 'speak', 'little', 'basic', 'french', 'happy', 'help', 'english', 'everyone', 'spoke', 'spoke', 'excellent', 'english', 'french', 'failed', 'visited', 'laon', 'beautiful', 'historical', 'city', '20mins', 'away', 'also', 'large', 'carrefour', 'used', 'stock', 'provision', 'avoid', 'overpriced', 'parc', 'marketmy', 'complaint', 'centerparcs', 'offer', 'electric', 'golf', 'buggy', 'rent', 'drive', 'far', 'fast', 'around', 'parc', 'road', 'mean', 'young', 'child', 'bikeswalking', 'must', 'kept', 'close', 'time', 'relax', 'allow', 'wander', 'ruin', 'car', 'atmosphere', 'opinionoverall', 'though', 'great', 'holiday', 'better', 'facility', 'park', 'half', 'price']
1001;['second', 'time', 'stayed', 'first', 'time', 'december', '2010', 'new', 'year', 'really', 'enjoyable', 'stay', 'child', 'loved', 'two', 'storey', 'cottage', 'said', 'pool', 'slide', 'rapid', 'better', 'elveden', 'longleat', 'englandwe', 'returned', 'easter', '2013', 'celebrate', 'twin', 'boy', '15th', 'birthday', 'also', 'daughter', 'aged', 'booked', 'september', '2012', 'benefited', 'early', 'booking', 'discount', 'free', 'topping', 'could', 'cashed', 'activity', 'arrived', 'stayed', 'premium', 'villa', 'nice', 'much', 'different', 'comfort', 'villa', 'previously', 'stayed', 'except', 'jacuzzi', 'bath', 'bed', 'made', 'arrival', 'outside', 'space', 'particularly', 'well', 'kept', 'tree', 'back', 'villa', 'bordered', 'outdoor', 'space', 'needed', 'cut', 'back', 'obscuring', 'lot', 'natural', 'light', 'made', 'villa', 'darkthe', 'child', 'enjoyed', 'accro', 'speeder', 'like', 'high', 'rope', 'without', 'harness', 'net', 'underneath', 'fall', 'also', 'great', 'time', 'segway', 'pierre', 'instructor', 'absolutely', 'superb', 'fantastic', 'teacherunfortunately', 'husband', 'swimming', 'locker', 'key', 'cut', 'wrist', 'first', 'thought', 'lost', 'think', 'may', 'happened', 'rapidshe', 'money', 'phone', 'stolen', 'swimming', 'locker', 'reported', 'staff', 'told', 'happened', 'quite', 'people', 'day', 'helpful', 'filling', 'report', 'trying', 'contact', 'mobile', 'phone', 'provider', 'told', 'would', 'drive', 'police', 'station', 'report', 'theft', 'could', 'guarantee', 'would', 'able', 'speak', 'english', 'speak', 'little', 'bit', 'french', 'feel', 'would', 'ideal', 'consequently', 'although', 'tried', 'let', 'spoil', 'holiday', 'made', 'feel', 'unsafe', 'rest', 'stay', 'hyper', 'vigilant', 'sleep', 'well', 'night', 'thismy', 'message', 'anyone', 'holidaying', 'please', 'leave', 'valuable', 'locker', 'hopeful', 'security', 'reviewed', 'light', 'incident', 'would', 'like', 'think', 'would', 'happen', 'anyone', 'else']
1002;['first', 'time', 'went', 'center', 'parcs', 'bit', 'afraid', 'review', 'form', 'people', 'complaining', 'cleanliness', 'cottage', 'finally', 'whole', 'appartment', 'good', 'general', 'status', 'arrived', 'took', 'premium', 'fomula', 'get', 'sheet', 'made', 'bed', 'arrival', 'basis', 'package', 'get', 'essentiel', 'stuff', 'arrival', 'toilett', 'swipping', 'paper', 'oil', 'salt', 'diswashing', 'liquid', '', 'parc', 'huge', 'cottage', 'facing', 'lake', 'equipment', 'available', 'want', 'use', 'free', 'warm', 'tropical', 'pool', 'supermarket', 'restaurant', 'bike', '', 'duck', 'swan', 'feeding', 'fun', 'outdoor', 'warm', 'pool', 'almost', 'negative', 'temperature', 'outside', 'nice', 'experience', 'inside', 'bit', 'crowded', 'lot', 'tube', 'child', 'play', 'nice', 'place', 'relax', 'lazy', 'morning', 'car', 'free', 'place', 'nice', 'laon', 'fortified', 'medieval', 'town', 'hill', 'reims', 'champagne', 'cave', 'visit', 'nice', 'cathedral', 'driving', 'distance', 'km', 'easy', 'escape', 'parc', 'nice', 'visists', 'overall', 'nice', 'experience', 'course', 'place', 'perfect', 'family', 'kid', 'could', 'still', 'anjoy', 'couple', 'relax', 'stressing', 'working', 'life']
1003;['experience', 'france', 'different', 'centre', 'parcs', 'whereas', 'tend', 'stay', 'resort', 'found', 'limited', 'number', 'activity', 'lac', 'dailette', 'used', 'convenient', 'location', 'travel', 'around', 'francewe', 'found', 'travelling', 'ferry', 'dover', 'cheapest', 'felt', 'going', 'holiday', 'rather', 'travelling', 'take', '225', 'hour', 'toll', 'road', 'cost', 'approximately', 'u20ac16a', 'lot', 'review', 'tripadvisor', 'refer', 'resort', 'distressed', 'whilst', 'would', 'certainly', 'agree', 'comment', 'cost', 'much', 'centre', 'parcs', 'ruin', 'holiday', 'indeed', 'set', 'beautiful', 'lake', 'lot', 'space', 'viewswe', 'may', 'travelled', 'outofseason', 'easter', 'half', 'term', 'arrived', 'two', 'four', 'restaurant', 'open', 'therefore', 'would', 'recommend', 'prepared', 'first', 'meal', 'accommodation', 'note', 'oven', 'cooker', 'hob', 'microwaveall', 'food', 'restaurant', 'average', 'quality', 'overpriced', 'notable', 'exception', 'suzette', 'restaurant', 'serf', 'delicious', 'sweet', 'savoury', 'pancake', 'fillingthere', 'well', 'stocked', 'baker', 'supermarket', 'however', 'time', 'writing', 'expensive', 'highly', 'recommend', 'taking', 'food', 'drink', 'condimentsthe', 'activity', 'resort', 'cheap', 'good', 'fun', 'example', 'kid', 'quad', 'biking', 'u20ac10', 'segway', 'driving', 'u20ac10', 'shetland', 'pony', 'riding', 'u20ac15', 'etcthere', 'lot', 'place', 'travel', 'around', 'resort1', 'laon', 'closest', 'beautiful', 'good', 'restaurant', 'kid', 'good', 'thing', 'cable', 'car', 'go', 'steep', 'hill', 'cost', 'u20ac250', 'return', 'adult', 'closer', 'soissons', 'average', 'nt', 'enjoy', 'abbey', 'cathedral', 'nt', 'waste', 'time3', 'reims', 'fantastic', 'lot', 'see', 'probably', 'one', 'best', 'thing', 'visit', 'many', 'champagne', 'house', 'loved', 'tattinger', 'english', 'tour', 'costing', 'u20ac16', 'get', 'glass', 'champagne', 'end4', 'try', 'paris', 'described', 'tripadvisor', 'quot', 'stone', 'throw', 'away', 'quot', 'rubbish', 'tried', 'going', 'car', 'hour', 'sitting', 'typical', 'parisian', 'traffic', 'struggling', 'appalling', 'road', 'signage', 'unable', 'find', 'park', 'turned', 'back', 'undeterred', 'tried', 'going', 'via', 'train', 'soissons', 'cost', 'u20ac38', 'return', 'adult', 'u20ac25', 'return', 'child']
1004;['sixth', 'trip', 'centerparcs', 'second', 'lac', 'dailette', 'seems', 'little', 'maintenance', 'since', 'last', 'year', 'many', 'bike', 'broken', 'outright', 'dangerous', 'mask', 'paintball', 'old', 'dirty', 'cleaned', 'session', 'effort', 'made', 'staff', 'clean', 'safe', 'walked', 'upset', 'child', 'visitor', 'ass', 'safetyhigh', 'rope', 'missing', 'piece', 'trampolining', 'nt', 'happen', 'lost', 'key', 'new', 'laser', 'quest', '2013', 'nt', 'happen', 'list', 'go', 'water', 'temperature', 'aqua', 'mundo', 'noticeably', 'cooler', 'hole', 'cycle', 'path', 'unrepaired', 'crazy', 'golf', 'falling', 'bit', 'playground', 'closed', 'offi', 'think', 'place', 'sort', 'trouble', 'standard', 'poor', 'compared', 'visit', 'centerparcs', 'ordinarily', 'would', 'booked', 'next', 'year', 'unless', 'radically', 'improves', 'never', 'risk', 'holiday']
1005;['well', 'start', 'took', 'vip', 'cottage', 'island', 'facing', 'lake', 'best', 'decision', 'made', 'view', 'absolutely', 'fantastic', 'kid', 'thrilled', 'goose', 'swan', 'swimming', 'window', 'cottage', 'nicely', 'furnitured', 'bathroom', 'great', 'new', 'comfy', 'jacussi', 'cover', 'started', 'wear', 'corner', 'kitchen', 'nicely', 'equipped', 'missing', 'basic', 'staff', 'like', 'potato', 'puree', 'mashing', 'thingie', 'whatever', 'called', 'cutting', 'knife', 'luckily', 'also', 'enough', 'space', 'kitchen', 'store', 'grocery', 'simply', 'wonderful', 'sunset', 'window', 'house', 'proximity', 'lake', 'make', 'vacation', 'calm', 'relaxed']
1006;['premium', 'style', 'cottage', 'view', 'lake', 'bathroom', 'bubblebath', 'separate', 'bedroom', 'kid', 'make', 'great', 'holiday', 'well', 'center', 'parcs', 'lac', 'dailette', 'apparently', 'totally', 'different', 'definition', 'cleanliness', 'compared', 'driving', 'towards', 'cottage', 'get', 'impression', 'beautiful', 'location', 'upon', 'entering', 'cottage', 'image', 'quickly', 'changed', 'premium', 'style', 'cottage', 'looked', 'mean', 'like', 'one', 'see', 'website', 'know', 'ever', 'used', 'best', 'way', 'describe', 'top', 'extremely', 'badly', 'cleaned', 'bubblebath', 'broken', 'whilst', 'freezing', 'outside', 'window', 'kid', 'bedroom', 'nt', 'close', '', 'went', 'complaining', 'reception', 'told', 'sometimes', 'happens', 'one', '800', 'room', 'nt', 'cleaned', 'well', '', 'like', 'problem', '', 'promised', 'send', 'someone', 'clean', 'fix', 'window', '', 'three', 'hour', 'later', 'reception', 'since', 'nobody', 'shown', 'upfair', 'fair', '', 'aqua', 'mundo', 'waterpark', 'great', 'kid', 'pay', 'premium', 'cottage', 'expect', 'get', 'value', 'money', 'certainly', 'case', 'price', 'supermarket', 'cafe', '', 'wild', 'guess', '', 'overoveroverpriced', '', 'expect', '', 'never', 'back', 'pricing', 'primarily', 'due', 'lack', 'cleanliness']
1007;['spent', 'midweek', 'october', '2012', 'multiple', 'centerparcs', 'belgium', 'netherlands', 'lac', 'dailette', 'topped', 'without', 'doubt', 'stayed', 'person', 'premium', 'cottage', 'chosen', 'certain', 'cottage', 'number', 'close', 'aqua', 'mundo', 'facility', 'advice', 'really', 'big', 'park', 'lot', 'hill', 'quite', 'hike', 'carrying', 'grocery', 'back', 'cottage', 'cottage', 'spacious', 'clean', 'cleaning', 'staff', 'definitely', 'job', 'well', 'kitchen', 'provided', 'everything', 'needed', 'cooking', 'decent', 'living', 'room', 'toilet', 'downstairs', 'one', 'bathroom', 'upstairs', 'comfy', 'bed', 'beautifull', 'outside', 'seating', 'area', 'unfortunatly', 'nt', 'make', 'use', 'seeing', 'weather', 'october', 'simply', 'nt', 'allow', 'bathroom', 'offered', 'bathtub', 'jacuzzi', 'big', 'double', 'sink', 'pool', 'amazing', 'spent', 'hour', 'adult', 'sure', 'kid', 'teen', 'wonderful', 'time', 'nt', 'willing', 'come', 'water', 'slide', 'different', 'pool', 'make', 'use', 'new', 'well', 'maintained', 'loved', 'cooked', 'cottage', 'lot', 'nt', 'really', 'opinion', 'restaurant', 'one', 'made', 'use', 'mr', 'crok', 'snack', 'bar', 'lunchtime', 'suited', 'fine', 'burger', 'chip', 'standard', 'quality', 'served', 'hot', 'within', 'reasonable', 'time', 'frame', 'shop', 'provided', 'everything', 'could', 'possibly', 'think', 'needing', 'cooking', 'fresh', 'veg', 'potato', 'meat', 'well', 'canned', 'soup', 'pasta', 'option', 'frozen', 'meal', 'ice', 'cream', 'crisp', 'cooky', 'snack', 'fresh', 'fruit', 'soda', 'beer', 'wine', 'forgotten', 'toothbrush', 'shampoo', '', 'reasonable', 'pricesthe', 'park', 'located', 'stonethrow', 'away', 'paris', 'parc', 'asterix', 'disneyland', 'resort', 'paris', 'three', 'definitely', 'worth', 'day', 'trip', 'staying', 'even', 'without', 'day', 'trip', 'plenty', 'seewe', 'coming', 'back', 'future', 'wonderful', 'break', 'best', 'centerparcs', 'far']
1008;['visited', 'center', 'parcs', 'cheaper', 'even', 'travel', 'cost', 'journey', 'hour', 'minute', 'one', 'longleat', 'figured', 'would', 'also', 'degree', 'two', 'warmer', 'wasfirst', 'impression', 'great', 'site', 'tree', 'canadian', 'architecture', 'ie', 'two', 'storey', 'villa', 'usual', 'lodge', 'look', 'like', 'holiday', 'village', 'forest', 'retreat', 'building', 'although', 'premier', 'one', 'need', 'bit', 'spruce', 'specifially', 'bit', 'repainting', 'repairingthat', 'said', 'site', 'also', 'fairly', 'small', 'pretty', 'compact', 'mean', 'bike', 'really', 'nt', 'necessary', 'many', 'location', 'lake', 'lovely', 'beach', 'nice', 'walk', 'past', 'way', 'swimming', 'facility', 'excellent', 'better', 'longleat', 'activity', 'grossly', 'overpriced', 'still', 'child', 'enjoyed', 'pony', 'riding', 'high', 'wire', 'climbing', 'quad', 'bike', 'course', 'pool', 'free', 'creperie', 'good', 'also', 'expensive', 'site', 'shop', 'reasonably', 'priced', 'staff', 'speak', 'good', 'english', 'although', 'high', 'wire', 'require', 'bit', 'french', 'german', 'understand', 'safetly', 'instruction', 'course', 'particular', 'reason', 'staff', 'speak', 'english', 'good', 'reason', 'improve', 'french', 'french', 'site', 'holiday', 'slightly', 'marred', 'trio', 'casualty', 'younger', 'fell', 'monkey', 'bar', 'stone', 'sensible', 'surface', 'equipment', 'marked', 'younger', 'age', 'group', 'staff', 'handled', 'well', 'though', 'french', 'health', 'system', 'proved', 'excellentall', 'relaxing', 'trip', 'hospital', 'notwithstanding', 'great', 'family', 'younger', 'child', 'mine', 'come', 'unless', 'becomes', 'cheaper', 'visit', 'center', 'parcs']
1009;['returned', 'midweek', 'break', 'amp', 'say', 'relaxing', 'centerparcs', 'holiday', 'ever', 'nt', 'seem', 'busy', 'parcs', 'visited', 'lake', 'made', 'lovely', 'change', 'vip', 'lakeside', 'villa', 'lovely', 'french', 'vip', 'never', 'english', 'standard', 'accept', 'nt', 'disappointed', 'pool', 'fun', 'activity', 'staff', 'friendly', 'environment', 'cleani', 'would', 'definitely', 'return']
1010;['family', 'four', 'chose', 'center', 'parcs', 'fantastic', 'swimming', 'facility', 'nt', 'disappoint', 'two', 'teenage', 'girl', 'happy', 'twice', 'day', 'enjoyed', 'much', 'relaxation', 'beach', 'lovely', 'although', 'shame', 'beach', 'bar', 'non', 'existent', 'one', 'two', 'maintenance', 'job', 'need', 'around', 'area', 'still', 'pleasant', 'place', 'away', 'hour', 'weather', 'gorgeous', 'real', 'bonus', 'pleased', 'paid', 'extra', 'lakeside', 'cottage', 'near', 'beach', 'min', 'walk', 'away', 'would', 'definitely', 'need', 'bike', 'buggy', 'get', 'around', 'supermarket', 'bakery', 'fantastic', 'brilliant', 'choice', 'restaurant', 'open', 'time', '7pm', 'bit', 'pile', 'get', 'italian', 'especially', 'last', 'night', 'probably', 'everyone', 'else', 'center', 'parcs', 'much', 'preferred', 'one', 'france', 'sheer', 'laid', 'back', 'peaceful', 'unstressful', 'ambience', 'lovely', 'sitting', 'verandah', 'watching', 'wildlife', 'lake', 'enjoyable', 'would', 'back']
1011;['turn', 'lovely', 'setting', 'center', 'parcs', 'catastrophe', 'entered', 'vip', 'villa', 'stank', 'fish', 'even', 'fridge', 'cleaned', 'several', 'time', 'staff', 'still', 'made', 'everything', 'fridge', 'smell', 'fish', 'ended', 'eating', 'time', 'least', 'tried', 'parc', 'chronically', 'understaffed', 'restaurant', 'long', 'queue', 'often', 'one', 'hour', 'wait', 'pizza', 'restaurant', 'ever', 'laid', 'half', 'table', 'manager', 'explained', 'staff', 'wait', 'ignored', 'half', 'table', 'despite', 'people', 'queuing', 'often', 'people', 'waiting', 'outside', 'restaurant', 'outlet', 'open', 'ten', 'minute', 'late', 'short', 'staffed', 'queue', '', 'price', 'activity', 'staggering', 'family', 'four', 'playing', 'crazy', 'golf', 'pay', 'u20ac24', 'facility', 'main', 'pool', 'smaller', 'parcs', 'overcrowding', 'chronic', 'parc', 'middle', 'nowhere', 'nothing', 'interest', 'visit', 'sell', 'lot', 'day', 'ticket', 'facility', 'invaded', 'people', 'staying', 'parc', 'leave', 'parc', 'day', 'often', 'space', 'car', 'park', 'come', 'back', 'queue', 'age', 'behind', 'day', 'visitor', 'get', 'back', 'people', 'spoke', 'described', 'experience', 'feeling', 'like', 'sheep', 'herded', 'queue', 'pay', 'exhorbitant', 'price', 'poor', 'servicesif', 'decide', 'bring', 'anti', 'mosquito', 'kit', 'near', 'lake', 'get', 'bitten', 'death', 'center', 'parcs', 'villa', 'offset', 'meaning', 'nt', 'hear', 'neighbour', 'however', 'villa', 'terrace', 'look', 'rough', 'like', 'dodgy', 'social', 'housing', 'estate', 'listen', 'next', 'door', 'wall', 'thin', 'august', 'parc', 'full', 'got', 'u20ac400', 'booking', 'late', 'another', 'large', 'amount', 'back', 'complaining', 'give', 'idea', 'well', 'new', 'owner', 'pierre', 'vacances', 'downmarket', 'operator', 'running', 'thing', 'think', 'parcs', 'going', 'downhill', 'since', 'scottish', 'newcastle', 'sold', 'business', 'group', 'fund', 'manager', 'seen', 'nothing', 'parc', 'disgrace']
